vacancyId,candidateId,interviewerId,interviewType,interviewDate,duration,feedback,score
114,114,9356,H,2022-03-20,46,Passed,9
115,115,9357,S,2021-08-22,46,Passed,9
116,116,9356,H,2022-03-22,49,Passed,9
117,117,9356,T,2022-08-10,52,Passed,8
118,118,9357,T,2023-11-02,58,Passed,9
119,119,9356,H,2022-02-03,46,Passed,9
120,120,9357,S,2023-09-16,48,Passed,10
121,121,9356,H,2021-06-19,50,Passed,10
122,122,9357,T,2022-08-19,43,Passed,10
123,123,9356,S,2021-07-18,42,Passed,9
124,124,9356,H,2023-05-11,55,Passed,10
125,125,9356,S,2020-05-11,46,Passed,10
126,126,9357,T,2021-07-14,56,Passed,10
127,127,9356,T,2021-04-18,45,Passed,8
128,128,9357,T,2021-03-11,45,Passed,8
129,129,9357,H,2023-07-06,42,Passed,10
130,130,9357,S,2021-07-05,60,Passed,9
131,131,9357,H,2023-11-16,51,Passed,9
132,132,9357,H,2020-09-21,51,Passed,10
133,133,9356,S,2023-03-13,53,Passed,9
134,134,9356,T,2021-10-07,40,Passed,8
135,135,9356,T,2022-07-07,50,Passed,10
136,136,9357,T,2023-11-27,54,Passed,8
137,137,9357,H,2022-03-17,58,Passed,9
138,138,9356,H,2021-12-26,57,Passed,8
139,139,9356,H,2020-10-19,40,Passed,9
140,140,9356,T,2024-03-14,59,Passed,9
141,141,9357,S,2021-11-14,52,Passed,9
142,142,9357,H,2023-03-16,55,Passed,8
143,143,9356,S,2021-07-07,40,Passed,9
144,144,9356,H,2020-11-23,50,Passed,8
145,145,9356,S,2023-08-26,52,Passed,10
146,146,9357,H,2022-11-10,54,Passed,9
147,147,9356,T,2021-03-15,56,Passed,9
148,148,9357,T,2022-07-03,43,Passed,9
149,149,9357,S,2022-06-24,46,Passed,10
150,150,9356,H,2022-12-08,42,Passed,9
151,151,9356,T,2023-07-12,60,Passed,10
152,152,9357,H,2023-06-13,48,Passed,10
153,153,9357,T,2022-11-10,53,Passed,10
154,154,9357,H,2024-02-06,46,Passed,9
155,155,9357,H,2020-11-23,55,Passed,10
156,156,9357,S,2024-03-31,44,Passed,8
157,157,9356,T,2023-08-05,40,Passed,9
158,158,9356,S,2021-05-30,58,Passed,8
159,159,9356,S,2023-01-09,55,Passed,8
160,160,9356,T,2021-01-11,51,Passed,10
161,161,9357,S,2020-09-23,50,Passed,9
162,162,9357,S,2022-06-08,56,Passed,9
163,163,9357,S,2022-12-09,40,Passed,10
164,164,9357,S,2023-04-17,45,Passed,10
165,165,9356,T,2022-02-23,43,Passed,9
166,166,9356,S,2021-08-01,41,Passed,9
167,167,9356,S,2021-07-04,58,Passed,8
168,168,9356,T,2020-04-24,48,Passed,10
169,169,9357,H,2023-10-03,51,Passed,8
170,170,9357,T,2024-04-08,45,Passed,8
171,171,9357,H,2024-01-27,60,Passed,9
172,172,9356,H,2021-08-06,59,Passed,10
173,173,9356,H,2022-06-30,60,Passed,9
174,174,9357,H,2023-04-25,51,Passed,8
175,175,9356,T,2022-03-30,60,Passed,9
176,176,9356,H,2022-06-09,52,Passed,8
177,177,9356,T,2021-05-05,57,Passed,8
178,178,9356,H,2021-10-06,51,Passed,9
179,179,9357,T,2023-10-18,50,Passed,9
180,180,9356,H,2020-09-25,42,Passed,8
181,181,9357,S,2021-10-03,52,Passed,9
182,182,9357,H,2021-03-31,57,Passed,9
183,183,9356,H,2021-12-06,50,Passed,8
184,184,9356,T,2024-02-07,45,Passed,10
185,185,9356,S,2022-04-17,60,Passed,8
186,186,9357,T,2023-06-29,41,Passed,9
187,187,9357,H,2024-03-30,59,Passed,8
188,188,9357,S,2023-04-23,49,Passed,10
189,189,9357,S,2021-03-01,40,Passed,10
190,190,9357,H,2022-08-05,45,Passed,10
191,191,9356,S,2024-03-31,55,Passed,9
192,192,9357,T,2022-09-25,41,Passed,9
193,193,9356,H,2021-09-26,50,Passed,10
194,194,9357,T,2022-10-14,50,Passed,10
195,195,9357,T,2023-01-03,45,Passed,10
196,196,9356,S,2020-06-04,57,Passed,10
197,197,9356,T,2021-11-08,55,Passed,10
198,198,9356,H,2022-06-16,57,Passed,8
199,199,9357,T,2021-12-20,42,Passed,10
200,200,9356,S,2023-03-26,43,Passed,10
201,201,9357,H,2021-05-10,42,Passed,9
202,202,9357,T,2022-04-20,57,Passed,9
203,203,9357,S,2022-05-12,49,Passed,10
204,204,9357,H,2022-05-29,47,Passed,8
205,205,9356,T,2023-11-13,59,Passed,10
206,206,9356,H,2021-03-29,50,Passed,8
207,207,9356,T,2021-03-10,44,Passed,10
208,208,9356,T,2023-03-14,51,Passed,10
209,209,9357,T,2021-04-14,59,Passed,9
210,210,9356,S,2020-12-12,50,Passed,9
211,211,9357,S,2022-06-29,56,Passed,10
212,212,9356,T,2024-03-15,40,Passed,8
213,213,9357,H,2021-08-22,54,Passed,9
214,214,9356,T,2023-10-27,43,Passed,9
215,215,9356,T,2023-01-20,45,Passed,10
216,216,9356,S,2020-12-05,47,Passed,9
217,217,9356,T,2021-09-13,59,Passed,8
218,218,9357,S,2023-05-14,57,Passed,9
219,219,9356,S,2023-07-28,60,Passed,9
220,220,9356,H,2020-08-29,56,Passed,10
221,221,9357,H,2023-07-09,40,Passed,8
222,222,9357,T,2021-01-28,51,Passed,8
223,223,9357,H,2023-12-12,56,Passed,8
224,224,9356,T,2023-07-30,56,Passed,9
225,225,9356,H,2021-05-16,53,Passed,8
226,226,9357,H,2021-07-18,59,Passed,9
227,227,9357,H,2022-04-03,59,Passed,10
228,228,9356,T,2022-06-14,55,Passed,10
229,229,9356,T,2020-06-14,40,Passed,10
230,230,9357,H,2022-12-16,54,Passed,8
231,231,9356,S,2022-06-03,60,Passed,8
232,232,9357,T,2021-08-08,56,Passed,10
233,233,9357,S,2021-10-26,46,Passed,9
234,234,9357,S,2021-09-20,59,Passed,10
235,235,9356,S,2022-11-25,53,Passed,8
236,236,9357,S,2020-11-04,56,Passed,10
237,237,9357,H,2023-08-31,58,Passed,8
238,238,9357,H,2021-04-02,48,Passed,8
239,239,9357,S,2022-03-26,42,Passed,10
240,240,9357,T,2023-08-21,59,Passed,8
241,241,9356,T,2022-01-14,45,Passed,9
242,242,9356,H,2021-08-22,59,Passed,10
243,243,9357,H,2022-12-27,49,Passed,9
244,244,9357,T,2021-10-06,52,Passed,9
245,245,9356,H,2020-05-28,42,Passed,9
246,246,9356,T,2022-08-07,54,Passed,10
247,247,9357,S,2022-02-04,54,Passed,10
248,248,9357,T,2021-01-23,49,Passed,8
249,249,9356,T,2021-04-21,53,Passed,9
250,250,9357,H,2022-12-27,41,Passed,10
251,251,9357,T,2024-01-16,41,Passed,10
252,252,9356,S,2023-12-03,49,Passed,8
253,253,9357,H,2021-09-19,55,Passed,10
254,254,9356,S,2021-02-03,54,Passed,10
255,255,9357,T,2021-11-08,50,Passed,10
256,256,9357,T,2020-05-03,60,Passed,10
257,257,9356,S,2021-07-07,49,Passed,10
258,258,9357,H,2023-07-13,42,Passed,8
259,259,9356,H,2021-08-22,49,Passed,10
260,260,9357,T,2022-06-29,60,Passed,10
261,261,9356,H,2021-11-17,60,Passed,8
262,262,9356,H,2023-04-10,51,Passed,10
263,263,9357,S,2022-10-13,41,Passed,10
264,264,9356,S,2023-12-04,59,Passed,9
265,265,9356,H,2021-06-25,60,Passed,8
266,266,9357,T,2022-03-30,54,Passed,9
267,267,9357,T,2023-12-01,44,Passed,10
268,268,9357,H,2024-03-14,52,Passed,10
269,269,9357,T,2022-10-24,42,Passed,8
270,270,9356,H,2023-11-28,43,Passed,8
271,271,9357,S,2023-05-23,43,Passed,10
272,272,9357,S,2021-06-07,55,Passed,8
273,273,9357,T,2021-08-19,42,Passed,8
274,274,9356,T,2023-09-24,48,Passed,10
275,275,9356,H,2021-01-06,43,Passed,9
276,276,9357,T,2024-01-11,47,Passed,8
277,277,9357,T,2020-12-18,41,Passed,9
278,278,9357,T,2022-08-01,44,Passed,9
279,279,9356,T,2022-03-02,51,Passed,9
280,280,9356,T,2022-07-13,53,Passed,10
281,281,9357,H,2023-07-02,51,Passed,8
282,282,9356,H,2022-02-27,46,Passed,8
283,283,9357,H,2022-01-26,50,Passed,8
284,284,9356,S,2022-12-27,59,Passed,9
285,285,9356,S,2022-11-19,53,Passed,8
286,286,9357,T,2020-09-17,40,Passed,9
287,287,9357,T,2021-12-28,42,Passed,9
288,288,9356,T,2023-07-18,44,Passed,10
289,289,9357,T,2020-12-09,60,Passed,8
290,290,9357,T,2024-02-07,55,Passed,8
291,291,9357,S,2021-11-16,59,Passed,10
292,292,9356,S,2024-03-09,54,Passed,9
293,293,9356,S,2021-01-03,56,Passed,10
294,294,9357,T,2023-09-12,55,Passed,9
295,295,9357,T,2022-07-29,46,Passed,8
296,296,9356,H,2022-04-19,50,Passed,9
297,297,9356,T,2021-10-10,45,Passed,8
298,298,9357,H,2022-02-27,54,Passed,9
299,299,9356,T,2022-02-13,47,Passed,9
300,300,9357,S,2023-11-21,45,Passed,9
301,301,9356,H,2024-02-14,54,Passed,9
302,302,9356,S,2023-08-26,57,Passed,9
303,303,9356,H,2020-05-11,42,Passed,10
304,304,9357,H,2020-11-07,43,Passed,9
305,305,9356,H,2022-09-19,51,Passed,10
306,306,9356,H,2023-10-18,50,Passed,10
307,307,9357,T,2023-08-17,44,Passed,10
308,308,9357,T,2021-11-01,45,Passed,8
309,309,9357,T,2021-12-12,56,Passed,9
310,310,9357,H,2024-04-01,59,Passed,8
311,311,9357,S,2023-12-05,46,Passed,10
312,312,9357,S,2022-06-27,55,Passed,8
313,313,9356,H,2022-10-01,44,Passed,9
314,314,9357,T,2022-06-24,58,Passed,8
315,315,9356,T,2021-01-31,60,Passed,8
316,316,9356,H,2021-11-13,44,Passed,10
317,317,9357,T,2021-12-18,54,Passed,10
318,318,9356,H,2023-09-20,53,Passed,9
319,319,9357,S,2023-05-05,59,Passed,10
320,320,9356,T,2021-03-23,49,Passed,10
321,321,9357,T,2021-06-29,55,Passed,10
322,322,9357,S,2022-02-22,55,Passed,10
323,323,9357,H,2023-05-10,57,Passed,8
324,324,9356,S,2023-01-15,57,Passed,9
325,325,9356,S,2020-09-10,60,Passed,9
326,326,9357,S,2020-11-10,54,Passed,10
327,327,9357,H,2022-09-17,51,Passed,8
328,328,9357,S,2023-11-11,42,Passed,10
329,329,9356,T,2020-08-15,58,Passed,9
330,330,9356,T,2020-05-12,59,Passed,9
331,331,9356,H,2022-08-16,41,Passed,10
332,332,9357,T,2021-05-31,41,Passed,10
333,333,9356,T,2020-04-11,45,Passed,8
334,334,9357,T,2023-02-03,55,Passed,9
335,335,9357,T,2022-10-25,55,Passed,9
336,336,9356,H,2023-03-11,56,Passed,8
337,337,9357,T,2022-01-19,44,Passed,9
338,338,9357,S,2024-03-27,48,Passed,10
339,339,9357,T,2022-03-12,54,Passed,9
340,340,9356,T,2024-01-25,43,Passed,9
341,341,9356,S,2024-03-31,51,Passed,8
342,342,9356,S,2023-12-15,49,Passed,9
343,343,9356,S,2023-09-26,49,Passed,8
344,344,9357,S,2023-08-21,50,Passed,10
345,345,9356,H,2022-11-19,50,Passed,10
346,346,9356,S,2020-08-05,44,Passed,10
347,347,9357,T,2023-12-15,51,Passed,10
348,348,9356,H,2023-04-05,56,Passed,9
349,349,9357,H,2023-01-02,60,Passed,8
350,350,9356,T,2022-12-11,52,Passed,8
351,351,9357,H,2023-02-27,48,Passed,8
352,352,9356,H,2023-07-17,49,Passed,8
353,353,9357,S,2022-03-11,59,Passed,10
354,354,9357,T,2024-01-03,57,Passed,8
355,355,9356,T,2023-02-10,48,Passed,10
356,356,9356,T,2020-11-02,53,Passed,10
357,357,9356,T,2022-11-05,41,Passed,9
358,358,9357,S,2021-05-03,40,Passed,10
359,359,9356,S,2024-01-30,50,Passed,10
360,360,9356,T,2023-06-18,46,Passed,8
361,361,9357,H,2022-01-02,56,Passed,10
362,362,9357,T,2022-11-24,47,Passed,9
363,363,9357,H,2020-09-02,56,Passed,9
364,364,9357,H,2023-12-28,42,Passed,9
365,365,9357,T,2022-06-25,58,Passed,10
366,366,9356,S,2021-01-10,54,Passed,8
367,367,9357,S,2020-11-23,47,Passed,9
368,368,9357,H,2023-03-24,60,Passed,10
369,369,9356,H,2023-02-01,42,Passed,8
370,370,9356,T,2023-04-25,55,Passed,9
371,371,9356,S,2024-01-28,49,Passed,9
372,372,9357,T,2021-08-21,47,Passed,8
373,373,9357,S,2021-06-19,57,Passed,8
374,374,9357,H,2021-06-21,55,Passed,8
375,375,9356,H,2021-12-03,60,Passed,9
376,376,9356,S,2021-08-19,50,Passed,9
377,377,9357,S,2021-02-23,60,Passed,8
378,378,9357,T,2022-01-28,58,Passed,9
379,379,9357,T,2021-06-02,40,Passed,9
380,380,9357,T,2021-03-01,41,Passed,9
381,381,9357,T,2022-04-10,52,Passed,9
382,382,9356,H,2021-01-04,58,Passed,10
383,383,9357,S,2021-04-06,57,Passed,9
384,384,9357,T,2020-05-08,53,Passed,8
385,385,9357,T,2021-08-02,46,Passed,8
386,386,9356,S,2023-09-01,55,Passed,8
387,387,9356,S,2022-09-12,49,Passed,8
388,388,9356,T,2024-04-01,42,Passed,8
389,389,9356,H,2022-04-20,40,Passed,8
390,390,9357,H,2020-12-20,48,Passed,8
391,391,9357,H,2022-12-20,51,Passed,9
392,392,9357,H,2022-06-25,43,Passed,8
393,393,9356,T,2022-08-22,47,Passed,8
394,394,9357,S,2022-08-18,55,Passed,8
395,395,9356,S,2023-05-05,42,Passed,9
396,396,9356,T,2023-04-20,43,Passed,10
397,397,9356,T,2023-11-13,44,Passed,9
398,398,9357,T,2024-01-09,40,Passed,9
399,399,9357,S,2023-04-02,54,Passed,8
400,400,9356,S,2020-10-06,55,Passed,10
401,401,9356,H,2022-12-08,51,Passed,9
402,402,9357,H,2022-10-30,48,Passed,10
403,403,9356,H,2024-04-20,48,Passed,9
404,404,9357,T,2020-08-25,43,Passed,9
405,405,9356,S,2021-01-02,47,Passed,10
406,406,9356,S,2021-07-16,41,Passed,9
407,407,9357,T,2021-11-24,52,Passed,10
408,408,9356,T,2023-09-19,51,Passed,9
409,409,9357,S,2022-01-28,48,Passed,10
410,410,9357,T,2023-02-22,42,Passed,8
411,411,9356,H,2020-07-02,60,Passed,9
412,412,9357,S,2021-07-23,57,Passed,10
413,413,9357,S,2021-11-21,41,Passed,10
414,414,9356,T,2023-02-16,56,Passed,10
415,415,9357,S,2023-03-19,59,Passed,10
416,416,9356,H,2023-02-12,59,Passed,10
417,417,9357,H,2021-10-25,45,Passed,10
418,418,9357,H,2021-03-17,55,Passed,10
419,419,9357,S,2021-02-07,50,Passed,8
420,420,9356,H,2020-11-20,49,Passed,10
421,421,9357,S,2021-11-16,58,Passed,9
422,422,9357,S,2023-03-06,43,Passed,9
423,423,9356,H,2023-06-21,52,Passed,8
424,424,9357,S,2021-04-02,56,Passed,9
425,425,9356,S,2022-05-29,47,Passed,9
426,426,9357,S,2022-11-01,49,Passed,10
427,427,9357,S,2020-10-07,51,Passed,8
428,428,9357,S,2021-01-08,58,Passed,8
429,429,9356,T,2023-03-03,45,Passed,9
430,430,9356,T,2023-03-07,53,Passed,10
431,431,9357,H,2020-12-09,59,Passed,9
432,432,9356,S,2022-06-02,43,Passed,8
433,433,9356,H,2021-01-25,42,Passed,9
434,434,9356,S,2022-04-14,48,Passed,8
435,435,9357,H,2023-09-02,59,Passed,10
436,436,9357,H,2023-08-24,50,Passed,8
437,437,9356,S,2021-01-25,46,Passed,8
438,438,9356,S,2022-11-09,45,Passed,10
439,439,9356,T,2023-01-28,45,Passed,8
440,440,9356,H,2021-02-10,43,Passed,8
441,441,9356,T,2024-02-27,41,Passed,10
442,442,9356,H,2021-02-13,56,Passed,9
443,443,9357,H,2022-02-23,56,Passed,8
444,444,9356,T,2022-09-25,45,Passed,9
445,445,9357,H,2022-01-06,41,Passed,9
446,446,9356,S,2020-09-24,60,Passed,10
447,447,9357,S,2022-08-20,60,Passed,10
448,448,9357,S,2021-11-28,50,Passed,8
449,449,9357,T,2023-10-16,55,Passed,9
450,450,9356,T,2022-05-06,52,Passed,8
451,451,9357,T,2022-12-15,41,Passed,9
452,452,9357,H,2020-08-11,44,Passed,9
453,453,9356,S,2021-04-08,56,Passed,8
454,454,9357,H,2021-03-03,43,Passed,9
455,455,9356,S,2021-06-13,48,Passed,10
456,456,9356,S,2022-03-03,41,Passed,8
457,457,9356,H,2022-12-14,56,Passed,9
458,458,9357,S,2024-04-20,43,Passed,10
459,459,9357,S,2021-12-20,58,Passed,9
460,460,9357,T,2021-12-25,60,Passed,9
461,461,9356,T,2022-02-24,42,Passed,8
462,462,9357,H,2024-01-08,59,Passed,8
463,463,9356,T,2021-03-01,43,Passed,8
464,464,9356,S,2021-12-26,43,Passed,9
465,465,9356,S,2022-03-22,49,Passed,9
466,466,9357,H,2022-11-17,50,Passed,8
467,467,9357,T,2023-02-17,47,Passed,10
468,468,9357,S,2021-02-10,55,Passed,9
469,469,9357,S,2021-09-24,41,Passed,9
470,470,9357,S,2021-01-20,51,Passed,9
471,471,9356,S,2023-10-30,44,Passed,10
472,472,9356,T,2024-04-18,53,Passed,9
473,473,9356,H,2021-08-21,50,Passed,10
474,474,9356,H,2021-07-11,55,Passed,10
475,475,9357,H,2023-08-07,45,Passed,9
476,476,9356,S,2021-06-14,52,Passed,10
477,477,9356,S,2022-03-10,55,Passed,10
478,478,9356,T,2023-09-25,44,Passed,8
479,479,9357,H,2021-12-14,54,Passed,8
480,480,9356,T,2023-06-02,57,Passed,10
481,481,9356,H,2020-10-09,52,Passed,8
482,482,9356,H,2024-01-14,43,Passed,9
483,483,9356,H,2022-11-10,57,Passed,9
484,484,9357,H,2022-01-31,42,Passed,8
485,485,9357,T,2021-10-20,52,Passed,8
486,486,9356,S,2022-05-16,52,Passed,10
487,487,9356,T,2020-12-01,54,Passed,10
488,488,9357,S,2021-02-17,47,Passed,9
489,489,9357,S,2022-02-16,41,Passed,10
490,490,9356,S,2021-06-29,43,Passed,8
491,491,9356,T,2020-10-31,50,Passed,9
492,492,9357,T,2021-08-13,48,Passed,9
493,493,9356,S,2023-05-08,44,Passed,8
494,494,9356,H,2021-11-18,53,Passed,8
495,495,9356,H,2020-09-09,57,Passed,9
496,496,9357,T,2021-07-18,55,Passed,10
497,497,9357,T,2023-08-16,58,Passed,9
498,498,9357,S,2023-09-04,50,Passed,9
499,499,9356,T,2023-12-08,46,Passed,10
500,500,9357,S,2022-06-06,52,Passed,8
501,501,9356,T,2021-03-04,53,Passed,10
502,502,9357,H,2022-03-19,49,Passed,10
503,503,9357,T,2022-03-28,45,Passed,10
504,504,9356,S,2022-03-20,59,Passed,9
505,505,9357,S,2024-02-08,47,Passed,10
506,506,9357,T,2024-01-17,47,Passed,10
507,507,9357,T,2024-01-22,46,Passed,8
508,508,9357,T,2021-12-20,50,Passed,9
509,509,9356,S,2021-06-25,46,Passed,10
510,510,9356,H,2023-04-28,54,Passed,10
511,511,9357,T,2024-01-07,45,Passed,8
512,512,9357,T,2022-02-28,45,Passed,8
513,513,9356,T,2020-06-17,50,Passed,10
514,514,9356,T,2023-10-17,59,Passed,9
515,515,9357,S,2024-03-10,42,Passed,9
516,516,9356,H,2022-11-16,49,Passed,8
517,517,9356,T,2024-02-12,42,Passed,9
518,518,9357,S,2024-03-29,55,Passed,9
519,519,9356,T,2021-03-10,43,Passed,10
520,520,9356,S,2022-07-11,50,Passed,10
521,521,9357,H,2021-07-22,40,Passed,9
522,522,9356,H,2023-09-12,49,Passed,8
523,523,9357,H,2022-02-03,60,Passed,10
524,524,9356,S,2021-10-31,52,Passed,8
525,525,9356,T,2021-05-20,52,Passed,8
526,526,9357,H,2023-02-06,54,Passed,10
527,527,9356,T,2024-03-04,42,Passed,8
528,528,9357,S,2021-07-08,41,Passed,10
529,529,9357,T,2023-01-18,49,Passed,10
530,530,9357,T,2023-07-14,60,Passed,10
531,531,9357,S,2023-11-21,41,Passed,10
532,532,9357,H,2021-06-10,50,Passed,10
533,533,9356,S,2024-02-09,60,Passed,9
534,534,9357,H,2021-08-27,44,Passed,10
535,535,9357,H,2022-12-28,45,Passed,10
536,536,9356,H,2021-05-25,54,Passed,9
537,537,9356,T,2021-12-23,50,Passed,8
538,538,9357,S,2021-10-21,54,Passed,8
539,539,9357,T,2022-05-11,53,Passed,8
540,540,9357,T,2022-05-24,41,Passed,9
541,541,9357,T,2021-04-07,40,Passed,9
542,542,9356,S,2024-04-09,45,Passed,8
543,543,9357,H,2022-03-17,47,Passed,9
544,544,9357,T,2021-04-15,53,Passed,9
545,545,9357,T,2023-06-23,45,Passed,9
546,546,9356,T,2023-02-21,55,Passed,10
547,547,9357,S,2023-04-01,43,Passed,9
548,548,9356,S,2023-07-29,51,Passed,9
549,549,9357,H,2024-01-28,44,Passed,9
550,550,9356,S,2022-09-24,41,Passed,10
551,551,9357,S,2023-12-10,51,Passed,10
552,552,9357,H,2021-10-16,40,Passed,9
553,553,9357,H,2022-11-16,40,Passed,8
554,554,9357,S,2023-06-30,41,Passed,9
555,555,9356,S,2021-08-08,51,Passed,9
556,556,9357,S,2022-09-04,54,Passed,10
557,557,9357,S,2023-03-18,40,Passed,9
558,558,9356,H,2022-05-27,50,Passed,8
559,559,9356,T,2020-07-19,60,Passed,8
560,560,9357,T,2024-02-21,55,Passed,8
561,561,9356,S,2022-04-29,48,Passed,10
562,562,9357,T,2021-12-05,49,Passed,8
563,563,9357,H,2024-03-04,46,Passed,9
564,564,9356,T,2022-06-05,41,Passed,10
565,565,9356,H,2022-03-03,59,Passed,10
566,566,9357,T,2021-07-14,40,Passed,10
567,567,9357,T,2020-09-30,55,Passed,9
568,568,9356,S,2023-04-12,56,Passed,8
569,569,9357,T,2023-04-16,48,Passed,8
570,570,9357,S,2021-06-01,41,Passed,8
571,571,9356,H,2022-04-21,42,Passed,8
572,572,9357,H,2023-03-10,47,Passed,10
573,573,9356,H,2021-03-03,46,Passed,9
574,574,9356,T,2021-02-25,60,Passed,8
575,575,9356,T,2020-02-28,60,Passed,9
576,576,9357,H,2022-06-13,42,Passed,8
577,577,9356,T,2022-06-10,50,Passed,10
578,578,9356,S,2022-08-07,48,Passed,9
579,579,9357,T,2023-08-03,49,Passed,8
580,580,9357,T,2021-10-10,46,Passed,8
